UniProtAC	LOC_GO	LOC_NAME	In SwissProt	ChildOf SwissProt	In LocTree3	Confirmed	Num Docs	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID
P40107	GO:0005773	vacuole	FALSE	FALSE	FALSE		1	15494368																																																																										
P06787	GO:0005874	microtubule	FALSE	FALSE	FALSE		1	8886974																																																																										
Q05670	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		1	7559752																																																																										
P31787	GO:0099503	secretory vesicle	FALSE	FALSE	FALSE		1	26637591																																																																										
P53140	GO:0005634	nucleus	FALSE	FALSE	TRUE		1	17194786																																																																										
P04806	GO:0005634	nucleus	FALSE	FALSE	TRUE		1	25163631																																																																										
P38959	GO:0005764	lysosome	FALSE	FALSE	FALSE		1	11412045																																																																										
P32324	GO:0008091	spectrin	FALSE	FALSE	FALSE		1	18378170																																																																										
Q92328	GO:0000262	mitochondrial chromosome	FALSE	FALSE	FALSE		1	13679517																																																																										
Q12230	GO:0044214	spanning component of plasma membrane	FALSE	FALSE	FALSE		1	20693301																																																																										
P32497	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	1332047																																																																										
P08004	GO:0005937	mating projection	FALSE	FALSE	FALSE		1	10206705																																																																										
Q03694	GO:0071944	cell periphery	FALSE	FALSE	FALSE		1	15928207																																																																										
P40155	GO:0005829	cytosol	FALSE	FALSE	FALSE		1	10588639																																																																										
P28272	GO:0070469	respiratory chain	FALSE	FALSE	FALSE		1	8500781																																																																										
P05030	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		1	10679016																																																																										
P38995	GO:0005829	cytosol	FALSE	FALSE	FALSE		1	12529325																																																																										
P01123	GO:0005798	Golgi-associated vesicle	FALSE	TRUE	FALSE		1	12221137																																																																										
Q02647	GO:0005777	peroxisome	FALSE	FALSE	FALSE		1	23943868																																																																										
P13090	GO:0005829	cytosol	FALSE	FALSE	FALSE		1	20406405																																																																										
P38631	GO:0044214	spanning component of plasma membrane	FALSE	TRUE	FALSE		1	22581527																																																																										
P40499	GO:0005637	nuclear inner membrane	FALSE	FALSE	FALSE		1	15911569																																																																										
P46655	GO:0005773	vacuole	FALSE	TRUE	FALSE		1	8631914																																																																										
P40958	GO:0072686	mitotic spindle	FALSE	FALSE	FALSE		1	15930132																																																																										
P54199	GO:0072686	mitotic spindle	FALSE	FALSE	FALSE		1	15668173																																																																										
P19073	GO:0032157	prospore contractile ring	FALSE	FALSE	FALSE		1	26941334																																																																										
P06780	GO:0001725	stress fiber	FALSE	FALSE	FALSE		1	15961405																																																																										
P01120	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		1	12944483																																																																										
P53397	GO:0000262	mitochondrial chromosome	FALSE	TRUE	FALSE		1	11239005																																																																										
Q03446	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		1	17287526																																																																										
P46988	GO:0005618	cell wall	FALSE	FALSE	FALSE		1	21320323																																																																										
Q12158	GO:0009507	chloroplast	FALSE	FALSE	FALSE		1	19135368																																																																										
Q03530	GO:0044214	spanning component of plasma membrane	FALSE	FALSE	FALSE		1	23972033																																																																										
P54964	GO:0000262	mitochondrial chromosome	FALSE	TRUE	FALSE		1	9933355																																																																										
P39107	GO:0044214	spanning component of plasma membrane	FALSE	FALSE	FALSE		1	18083825																																																																										
P33332	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		1	26159770																																																																										
P22219	GO:0005776	autophagosome	FALSE	FALSE	FALSE		1	25568150																																																																										
P29311	GO:0005819	spindle	FALSE	FALSE	FALSE		1	24850890																																																																										
P39515	GO:0044214	spanning component of plasma membrane	FALSE	FALSE	FALSE		1	25157107																																																																										
Q08485	GO:0009705	plant-type vacuole membrane	FALSE	FALSE	FALSE		1	21904872																																																																										
P38273	GO:0030133	transport vesicle	FALSE	FALSE	FALSE		1	12364329																																																																										
P00330	GO:0005829	cytosol	FALSE	TRUE	FALSE		1	25805841																																																																										
P53865	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	10649453																																																																										
P19880	GO:0005819	spindle	FALSE	FALSE	FALSE		1	26921457																																																																										
P40450	GO:0005874	microtubule	FALSE	FALSE	FALSE		1	10597305																																																																										
Q12527	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		1	21757540																																																																										
P38289	GO:0000262	mitochondrial chromosome	FALSE	TRUE	FALSE		1	20086101																																																																										
P32563	GO:0042807	central vacuole	FALSE	FALSE	FALSE		1	11278748																																																																										
P15891	GO:0048788	cytoskeleton of presynaptic active zone	FALSE	TRUE	FALSE		1	12654920																																																																										
P45976	GO:0016020	membrane	FALSE	FALSE	FALSE		1	8995684																																																																										
P38620	GO:0031410	cytoplasmic vesicle	FALSE	TRUE	FALSE		1	11101685																																																																										
P24583	GO:0016020	membrane	FALSE	FALSE	FALSE		1	9441757																																																																										
P40015	GO:0005618	cell wall	FALSE	FALSE	FALSE		1	18305313																																																																										
P38862	GO:0033107	CVT vesicle	FALSE	FALSE	FALSE		1	10233148																																																																										
P02994	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	18799616																																																																										
P28791	GO:0005829	cytosol	FALSE	FALSE	FALSE		1	19346454																																																																										
P18759	GO:0005789	endoplasmic reticulum membrane	FALSE	FALSE	FALSE		1	9624457																																																																										
P23292	GO:0005794	Golgi apparatus	FALSE	TRUE	FALSE		1	11082047																																																																										
P24583	GO:0005813	centrosome	FALSE	TRUE	FALSE		1	14594954																																																																										
P41910	GO:0005635	nuclear envelope	FALSE	TRUE	FALSE		1	16231153																																																																										
P14020	GO:0030133	transport vesicle	FALSE	FALSE	FALSE		1	18343875																																																																										
P53141	GO:0016020	membrane	FALSE	FALSE	FALSE		1	25631819																																																																										
Q12446	GO:0005773	vacuole	FALSE	FALSE	FALSE		1	12177043																																																																										
Q08109	GO:0044214	spanning component of plasma membrane	FALSE	TRUE	FALSE		1	17051211																																																																										
P38224	GO:0009986	cell surface	FALSE	FALSE	FALSE		1	9456310																																																																										
P41948	GO:0009986	cell surface	FALSE	FALSE	FALSE		1	18434596																																																																										
P53159	GO:0005819	spindle	FALSE	FALSE	FALSE		1	10397772																																																																										
P16474	GO:0005789	endoplasmic reticulum membrane	FALSE	TRUE	FALSE		1	8033215																																																																										
Q06410	GO:0005776	autophagosome	FALSE	FALSE	FALSE		1	25998554																																																																										
D6VTK4	GO:0009986	cell surface	FALSE	FALSE	FALSE		1	7490292																																																																										
P35193	GO:0005773	vacuole	FALSE	TRUE	FALSE		1	11430817																																																																										
P00724	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	17237508																																																																										
P38270	GO:0005768	endosome	FALSE	FALSE	FALSE		1	16421251																																																																										
P24279	GO:0031965	nuclear membrane	FALSE	TRUE	FALSE		1	8574584																																																																										
P17629	GO:0016607	nuclear speck	FALSE	FALSE	FALSE		1	25680185																																																																										
Q03446	GO:0005768	endosome	FALSE	TRUE	FALSE		1	17287526																																																																										
Q03497	GO:0005773	vacuole	FALSE	TRUE	FALSE		1	19218422																																																																										
P16639	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	9858543																																																																										
P32354	GO:0005730	nucleolus	FALSE	TRUE	FALSE		1	15136575																																																																										
Q12133	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	7898639																																																																										
P23292	GO:0019897	extrinsic component of plasma membrane	FALSE	TRUE	FALSE		1	10198058																																																																										
Q04368	GO:0000775	chromosome, centromeric region	FALSE	FALSE	FALSE		1	23166349																																																																										
P40309	GO:0005886	plasma membrane	FALSE	FALSE	TRUE		1	15659172																																																																										
P27472	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	20555403																																																																										
P13586	GO:0044214	spanning component of plasma membrane	FALSE	TRUE	FALSE		1	10801855																																																																										
P40335	GO:0005774	vacuolar membrane	FALSE	FALSE	FALSE		1	7926738																																																																										
P11353	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		1	16239244																																																																										
Q07376	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		1	11536335																																																																										
P38932	GO:0010008	endosome membrane	FALSE	FALSE	FALSE		1	7706396																																																																										
P40479	GO:0005739	mitochondrion	FALSE	TRUE	FALSE		1	22031291																																																																										
P38967	GO:0099568	cytoplasmic region	FALSE	FALSE	FALSE		1	23250744																																																																										
Q12468	GO:0031672	A band	FALSE	TRUE	FALSE		1	19535455																																																																										
P01120	GO:0005829	cytosol	FALSE	FALSE	TRUE		1	7726551																																																																										
P10081	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	17587566																																																																										
P47104	GO:0005802	trans-Golgi network	FALSE	TRUE	FALSE		1	15090613																																																																										
P40016	GO:0005637	nuclear inner membrane	FALSE	FALSE	FALSE		1	15082709																																																																										
P02557	GO:0072686	mitotic spindle	FALSE	FALSE	FALSE		1	9382872																																																																										
P40009	GO:0005796	Golgi lumen	FALSE	FALSE	FALSE		1	10954728																																																																										
P40969	GO:0005876	spindle microtubule	FALSE	FALSE	FALSE		1	16923829																																																																										
P0C5L1	GO:0005737	cytoplasm	FALSE	FALSE	None		1	7822420																																																																										
P19073	GO:0005768	endosome	FALSE	FALSE	FALSE		1	21899677																																																																										
P19658	GO:0015629	actin cytoskeleton	FALSE	FALSE	FALSE		1	10207081																																																																										
P25296	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		1	8394042																																																																										
P42949	GO:0005815	microtubule organizing center	FALSE	FALSE	FALSE		1	16481403																																																																										
P39929	GO:0005783	endoplasmic reticulum	FALSE	TRUE	FALSE		1	15925308																																																																										
Q07540	GO:0005746	mitochondrial respiratory chain	FALSE	TRUE	FALSE		1	10607838																																																																										
P16474	GO:0005635	nuclear envelope	FALSE	FALSE	FALSE		1	19801418																																																																										
P15891	GO:0005768	endosome	FALSE	FALSE	FALSE		1	15534003																																																																										
P53109	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		1	23931758																																																																										
Q12188	GO:0000800	lateral element	FALSE	TRUE	FALSE		1	12759374																																																																										
P53065	GO:0005634	nucleus	FALSE	FALSE	TRUE		1	25315605																																																																										
P53096	GO:0005829	cytosol	FALSE	FALSE	FALSE		1	22337769																																																																										
P50107	GO:0005829	cytosol	FALSE	FALSE	FALSE		1	11263974																																																																										
P38742	GO:0005776	autophagosome	FALSE	FALSE	FALSE		1	21900499																																																																										
P60010	GO:0045111	intermediate filament cytoskeleton	FALSE	FALSE	FALSE		1	9739078																																																																										
P32526	GO:0032157	prospore contractile ring	FALSE	TRUE	FALSE		1	20598539																																																																										
Q02767	GO:0005773	vacuole	FALSE	FALSE	FALSE		1	8817003																																																																										
P14126	GO:0005881	cytoplasmic microtubule	FALSE	FALSE	FALSE		1	11593399																																																																										
Q02890	GO:0005783	endoplasmic reticulum	FALSE	FALSE	FALSE		1	11804604																																																																										
P40051	GO:0005777	peroxisome	FALSE	FALSE	FALSE		1	11309418																																																																										
Q08826	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		1	18768754																																																																										
Q03860	GO:0005798	Golgi-associated vesicle	FALSE	FALSE	FALSE		1	16107716																																																																										
P10614	GO:0099568	cytoplasmic region	FALSE	FALSE	FALSE		1	10788782																																																																										
P38857	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	2017186																																																																										
P32266	GO:0005829	cytosol	FALSE	FALSE	FALSE		1	14970223																																																																										
P04821	GO:0005635	nuclear envelope	FALSE	TRUE	FALSE		1	1500423																																																																										
P32828	GO:0005657	replication fork	FALSE	FALSE	FALSE		1	25940904																																																																										
P32368	GO:0097038	perinuclear endoplasmic reticulum	FALSE	FALSE	FALSE		1	17908202																																																																										
P38242	GO:0005788	endoplasmic reticulum lumen	FALSE	FALSE	FALSE		1	17686769																																																																										
P53252	GO:0005618	cell wall	FALSE	FALSE	FALSE		1	21900489																																																																										
P0CG63	GO:0005789	endoplasmic reticulum membrane	FALSE	TRUE	FALSE		1	21187394																																																																										
P36022	GO:0035371	microtubule plus-end	FALSE	FALSE	FALSE		1	19185494																																																																										
P32796	GO:0009705	plant-type vacuole membrane	FALSE	FALSE	FALSE		1	15377779																																																																										
P52917	GO:0005764	lysosome	FALSE	FALSE	FALSE		1	9606181																																																																										
Q08581	GO:0005730	nucleolus	FALSE	FALSE	FALSE		1	15190202																																																																										
P47054	GO:0031965	nuclear membrane	FALSE	FALSE	FALSE		1	10428845																																																																										
P13365	GO:0005768	endosome	FALSE	FALSE	FALSE		1	10658181																																																																										
P15436	GO:0005874	microtubule	FALSE	FALSE	FALSE		1	11487703																																																																										
P38130	GO:0005783	endoplasmic reticulum	FALSE	FALSE	FALSE		1	16107716																																																																										
P32797	GO:0005730	nucleolus	FALSE	FALSE	FALSE		1	15705571																																																																										
P34760	GO:0043205	fibril	FALSE	FALSE	FALSE		1	20925423																																																																										
P17967	GO:0044214	spanning component of plasma membrane	FALSE	FALSE	FALSE		1	8953774																																																																										
P40537	GO:0072686	mitotic spindle	FALSE	FALSE	FALSE		1	17664284																																																																										
Q12154	GO:0005789	endoplasmic reticulum membrane	FALSE	FALSE	FALSE		1	27923985																																																																										
P29468	GO:0005829	cytosol	FALSE	FALSE	FALSE		1	16966379																																																																										
P47030	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		1	18298591																																																																										
P00854	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	16751614																																																																										
Q12200	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		1	15522102																																																																										
Q99287	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	24152736																																																																										
P13185	GO:0005618	cell wall	FALSE	FALSE	FALSE		1	8020610																																																																										
Q12048	GO:0044214	spanning component of plasma membrane	FALSE	FALSE	FALSE		1	26565778																																																																										
P34756	GO:0036019	endolysosome	FALSE	FALSE	FALSE		1	19272020																																																																										
Q04545	GO:0005618	cell wall	FALSE	FALSE	FALSE		1	9573092																																																																										
P38881	GO:0005773	vacuole	FALSE	FALSE	FALSE		1	17204844																																																																										
P53109	GO:0019867	outer membrane	FALSE	FALSE	FALSE		1	23931758																																																																										
P35844	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		1	26466678																																																																										
P40987	GO:0015629	actin cytoskeleton	FALSE	FALSE	FALSE		1	22327008																																																																										
Q00684	GO:0000775	chromosome, centromeric region	FALSE	FALSE	FALSE		1	16176976																																																																										
P32333	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		1	18003916																																																																										
P06780	GO:0005773	vacuole	FALSE	FALSE	FALSE		1	20171953																																																																										
P40961	GO:0000262	mitochondrial chromosome	FALSE	TRUE	FALSE		1	14739993																																																																										
P53252	GO:0032541	cortical endoplasmic reticulum	FALSE	FALSE	FALSE		1	22496901																																																																										
P23776	GO:0085035	haustorium	FALSE	FALSE	FALSE		1	14648113																																																																										
P32340	GO:0000262	mitochondrial chromosome	FALSE	TRUE	FALSE		1	11479321																																																																										
P38823	GO:0005773	vacuole	FALSE	TRUE	FALSE		1	24636257																																																																										
P38878	GO:0032541	cortical endoplasmic reticulum	FALSE	TRUE	FALSE		1	24223779																																																																										
Q03048	GO:0005770	late endosome	FALSE	FALSE	FALSE		1	14561408																																																																										
P53301	GO:0009986	cell surface	FALSE	FALSE	FALSE		1	10757808																																																																										
P32622	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		1	16680368																																																																										
Q12048	GO:0005776	autophagosome	FALSE	FALSE	FALSE		1	26565778																																																																										
P40529	GO:0030133	transport vesicle	FALSE	FALSE	FALSE		1	16126894																																																																										
P0CG63	GO:0005774	vacuolar membrane	FALSE	TRUE	FALSE		1	11526110																																																																										
Q12446	GO:0005884	actin filament	FALSE	FALSE	FALSE		1	9024694																																																																										
P06777	GO:0000794	condensed nuclear chromosome	FALSE	TRUE	FALSE		1	23468651																																																																										
P47128	GO:0005618	cell wall	FALSE	FALSE	FALSE		1	16911514																																																																										
Q99260	GO:0005773	vacuole	FALSE	FALSE	FALSE		1	9880327																																																																										
P43633	GO:0044214	spanning component of plasma membrane	FALSE	FALSE	FALSE		1	8375386																																																																										
P25369	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		1	15651983																																																																										
P38198	GO:0051233	spindle midzone	FALSE	TRUE	TRUE		1	24862575																																																																										
P32802	GO:0042589	zymogen granule membrane	FALSE	FALSE	FALSE		1	8663407																																																																										
P34233	GO:0005856	cytoskeleton	FALSE	FALSE	FALSE		1	15459746																																																																										
P41733	GO:0009986	cell surface	FALSE	FALSE	FALSE		1	12819203																																																																										
P38116	GO:0009986	cell surface	FALSE	FALSE	FALSE		1	16926193																																																																										
Q06630	GO:0000262	mitochondrial chromosome	FALSE	TRUE	FALSE		1	25081569																																																																										
P36164	GO:0005798	Golgi-associated vesicle	FALSE	FALSE	FALSE		1	16107716																																																																										
P40581	GO:0005794	Golgi apparatus	FALSE	TRUE	FALSE		1	11279184																																																																										
P25694	GO:0000775	chromosome, centromeric region	FALSE	FALSE	FALSE		1	25344531																																																																										
P11491	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		1	9683639																																																																										
Q12446	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		1	12237851																																																																										
P32266	GO:0044214	spanning component of plasma membrane	FALSE	TRUE	FALSE		1	11038181																																																																										
P00359	GO:0005829	cytosol	FALSE	TRUE	FALSE		1	15210723																																																																										
P13134	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		1	12221123																																																																										
P38731	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		1	12110576																																																																										
Q12263	GO:0016020	membrane	FALSE	FALSE	FALSE		1	21145462																																																																										
P38310	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		1	10608875																																																																										
P00724	GO:0016020	membrane	FALSE	FALSE	FALSE		1	20581291																																																																										
Q06667	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		1	15459192																																																																										
P38794	GO:0005737	cytoplasm	FALSE	FALSE	TRUE		1	19218424																																																																										
P39077	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	12427989																																																																										
Q12044	GO:0015629	actin cytoskeleton	FALSE	FALSE	FALSE		1	22327008																																																																										
P32944	GO:0072686	mitotic spindle	FALSE	FALSE	FALSE		1	25406317																																																																										
P18409	GO:0005856	cytoskeleton	FALSE	FALSE	FALSE		1	13679517																																																																										
P27614	GO:0005618	cell wall	FALSE	FALSE	FALSE		1	27749909																																																																										
P60010	GO:0000775	chromosome, centromeric region	FALSE	FALSE	FALSE		1	25157258																																																																										
P19658	GO:0032432	actin filament bundle	FALSE	FALSE	FALSE		1	22768263																																																																										
Q04439	GO:0005884	actin filament	FALSE	FALSE	FALSE		1	11901111																																																																										
P60010	GO:0044214	spanning component of plasma membrane	FALSE	FALSE	FALSE		1	9219339																																																																										
P25374	GO:0005743	mitochondrial inner membrane	FALSE	TRUE	FALSE		1	10406803																																																																										
Q06680	GO:0044214	spanning component of plasma membrane	FALSE	FALSE	FALSE		1	10995770																																																																										
P38248	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		1	22848669																																																																										
Q03178	GO:0005737	cytoplasm	FALSE	FALSE	FALSE		1	11238901																																																																										
P15436	GO:0005819	spindle	FALSE	FALSE	FALSE		1	11487703																																																																										
P32380	GO:0016363	nuclear matrix	FALSE	TRUE	FALSE		1	1541631																																																																										
Q00772	GO:0016020	membrane	FALSE	FALSE	FALSE		1	12361575																																																																										
P38166	GO:0005768	endosome	FALSE	FALSE	FALSE		1	10406798																																																																										
P53039	GO:0005829	cytosol	FALSE	FALSE	FALSE		1	15611160																																																																										
Q06201	GO:0000802	transverse filament	FALSE	TRUE	FALSE		1	23326245																																																																										
Q99271	GO:0009705	plant-type vacuole membrane	FALSE	FALSE	FALSE		1	27766460																																																																										
P38218	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		1	18983849																																																																										
P06782	GO:0005777	peroxisome	FALSE	TRUE	FALSE		1	12943550																																																																										
P39742	GO:0031965	nuclear membrane	FALSE	FALSE	FALSE		1	8647883																																																																										
P32375	GO:0005739	mitochondrion	FALSE	TRUE	TRUE		1	8163532																																																																										
P41832	GO:0005819	spindle	FALSE	FALSE	FALSE		1	22160598																																																																										
P14126	GO:0005874	microtubule	FALSE	FALSE	FALSE		1	11423968																																																																										
Q12056	GO:0005829	cytosol	FALSE	FALSE	FALSE		1	15143178																																																																										
P41697	GO:0005884	actin filament	FALSE	FALSE	FALSE		1	11154270																																																																										
P41920	GO:0005829	cytosol	FALSE	TRUE	TRUE		1	10397757																																																																										
Q02647	GO:0005782	peroxisomal matrix	FALSE	FALSE	FALSE		1	23943868																																																																										
P40073	GO:0015629	actin cytoskeleton	FALSE	FALSE	FALSE		1	10980703																																																																										
P53630	GO:0005739	mitochondrion	FALSE	TRUE	FALSE		1	27681931																																																																										
P48527	GO:0005635	nuclear envelope	FALSE	FALSE	FALSE		1	25041276																																																																										
P41697	GO:0005881	cytoplasmic microtubule	FALSE	FALSE	FALSE		1	17416900																																																																										
P28272	GO:0005773	vacuole	FALSE	TRUE	FALSE		1	8500781																																																																										
Q06135	GO:0031160	spore wall	FALSE	FALSE	FALSE		1	21389112																																																																										
P23900	GO:0005737	cytoplasm	FALSE	FALSE	TRUE		1	12972575																																																																										
P21576	GO:0005778	peroxisomal membrane	FALSE	TRUE	FALSE		1	16520372																																																																										
P53214	GO:0009986	cell surface	FALSE	FALSE	FALSE		1	27337501																																																																										
P30619	GO:0005769	early endosome	FALSE	FALSE	FALSE		1	26395371																																																																										
P00724	GO:0034399	nuclear periphery	FALSE	FALSE	FALSE		1	17237508																																																																										
P40897	GO:0005777	peroxisome	FALSE	FALSE	FALSE		1	25130273																																																																										
P48016	GO:0009986	cell surface	FALSE	FALSE	FALSE		1	19703229																																																																										
P06244	GO:0005789	endoplasmic reticulum membrane	FALSE	TRUE	FALSE		1	22575457																																																																										
P05030	GO:0005576	extracellular region	FALSE	FALSE	FALSE		1	14871479																																																																										
P11433	GO:0005774	vacuolar membrane	FALSE	TRUE	FALSE		1	11042180																																																																										
P26448	GO:0005874	microtubule	FALSE	FALSE	FALSE		1	12062061																																																																										
P29496	GO:0005813	centrosome	FALSE	FALSE	FALSE		1	18799789																																																																										
Q06497	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		1	11390660																																																																										
Q08558	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	22448906																																																																										
P19516	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	8118433																																																																										
P38176	GO:0005768	endosome	FALSE	FALSE	FALSE		1	15039776																																																																										
P32319	GO:0005764	lysosome	FALSE	FALSE	FALSE		1	11801606																																																																										
P40986	GO:0005829	cytosol	FALSE	FALSE	FALSE		1	9560393																																																																										
Q03497	GO:0015629	actin cytoskeleton	FALSE	FALSE	FALSE		1	17601877																																																																										
P32337	GO:0005730	nucleolus	FALSE	TRUE	FALSE		1	10465789																																																																										
P39009	GO:0005737	cytoplasm	FALSE	FALSE	FALSE		1	26970775																																																																										
P21190	GO:0005737	cytoplasm	FALSE	FALSE	FALSE		1	14517308																																																																										
Q12241	GO:0030133	transport vesicle	FALSE	TRUE	FALSE		1	9475723																																																																										
P50623	GO:0031965	nuclear membrane	FALSE	TRUE	FALSE		1	17265167																																																																										
P53279	GO:0005618	cell wall	FALSE	FALSE	FALSE		1	21900489																																																																										
P38865	GO:0009986	cell surface	FALSE	FALSE	FALSE		1	11523804																																																																										
P06780	GO:0005884	actin filament	FALSE	FALSE	FALSE		1	25561732																																																																										
Q00402	GO:0005874	microtubule	FALSE	FALSE	FALSE		1	11121446																																																																										
Q3E731	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	12171940																																																																										
P04821	GO:0000775	chromosome, centromeric region	FALSE	FALSE	FALSE		1	1394509																																																																										
P33314	GO:0005938	cell cortex	FALSE	FALSE	FALSE		1	16002653																																																																										
P32804	GO:0005774	vacuolar membrane	FALSE	FALSE	FALSE		1	11139591																																																																										
P07866	GO:0005940	septin ring	FALSE	TRUE	FALSE		1	12498684																																																																										
P38287	GO:0005576	extracellular region	FALSE	FALSE	FALSE		1	14766906																																																																										
Q01590	GO:0005783	endoplasmic reticulum	FALSE	FALSE	TRUE		1	15123693																																																																										
P29465	GO:0031160	spore wall	FALSE	TRUE	FALSE		1	15755916																																																																										
P38126	GO:0000794	condensed nuclear chromosome	FALSE	TRUE	FALSE		1	24367111																																																																										
Q03880	GO:0005773	vacuole	FALSE	FALSE	FALSE		1	16926153																																																																										
P04807	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		1	23127800																																																																										
P53893	GO:0005634	nucleus	FALSE	FALSE	FALSE		1	11713675																																																																										
P32490	GO:0005938	cell cortex	FALSE	TRUE	FALSE		1	12361575																																																																										
P32660	GO:0099568	cytoplasmic region	FALSE	FALSE	FALSE		1	16600184																																																																										
P38934	GO:0005816	spindle pole body	FALSE	FALSE	FALSE		1	11410665																																																																										
Q04338	GO:0005773	vacuole	FALSE	FALSE	FALSE		1	10359592																																																																										
Q07540	GO:0044214	spanning component of plasma membrane	FALSE	FALSE	FALSE		1	12921533																																																																										
P32807	GO:0000262	mitochondrial chromosome	FALSE	FALSE	FALSE		1	22214610																																																																										
P27929	GO:0000262	mitochondrial chromosome	FALSE	FALSE	FALSE		1	1729612																																																																										
P32600	GO:0005768	endosome	FALSE	TRUE	FALSE		1	26447710																																																																										
Q12692	GO:0000775	chromosome, centromeric region	FALSE	FALSE	FALSE		1	17947424																																																																										
P53043	GO:0005783	endoplasmic reticulum	FALSE	TRUE	FALSE		1	17069919																																																																										
P05030	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	FALSE	FALSE	FALSE		1	11877403																																																																										
P09119	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		1	8892760																																																																										
P47082	GO:0005775	vacuolar lumen	FALSE	FALSE	FALSE		1	27246536																																																																										
P32623	GO:0009986	cell surface	FALSE	FALSE	FALSE		1	10757808																																																																										
P11938	GO:0000775	chromosome, centromeric region	FALSE	FALSE	FALSE		1	9030688																																																																										
Q12402	GO:0005777	peroxisome	FALSE	FALSE	FALSE		1	27129769																																																																										
P27697	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		1	26782644																																																																										
P34761	GO:0016020	membrane	FALSE	FALSE	FALSE		1	18667435																																																																										
P21576	GO:0030136	clathrin-coated vesicle	FALSE	FALSE	FALSE		1	15572353																																																																										
P08678	GO:0005634	nucleus	FALSE	FALSE	TRUE		1	18621924																																																																										
Q03455	GO:0005694	chromosome	FALSE	FALSE	FALSE		1	11058603																																																																										
P40045	GO:0005937	mating projection	FALSE	TRUE	FALSE		1	19053807																																																																										
P00163	GO:0000262	mitochondrial chromosome	FALSE	FALSE	FALSE		1	9585511																																																																										
P53062	GO:0005783	endoplasmic reticulum	FALSE	FALSE	FALSE		1	20016074																																																																										
Q08227	GO:0005773	vacuole	FALSE	FALSE	FALSE		1	17392273																																																																										
Q01560	GO:0005654	nucleoplasm	FALSE	TRUE	FALSE		1	7774613																																																																										
P30624	GO:0005777	peroxisome	FALSE	FALSE	FALSE		1	26019148																																																																										
P28817	GO:0005769	early endosome	FALSE	FALSE	FALSE		1	16251358																																																																										
P40566	GO:0016020	membrane	FALSE	FALSE	FALSE		1	18258205																																																																										
P38929	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		1	11382780																																																																										
