UniProtAC	LOC_GO	LOC_NAME	In SwissProt	ChildOf SwissProt	In LocTree3	Confirmed	Num Docs	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID
P15454	GO:0016020	membrane	FALSE	FALSE	FALSE		6	26352593	15914641	16870733	15652357	10760291	12657639																																																																					
Q03048	GO:0005884	actin filament	FALSE	TRUE	FALSE		6	10421841	22887981	27159499	10366597	10231390	10212149																																																																					
P41821	GO:0031097	medial cortex	FALSE	FALSE	FALSE		6	15572668	19427212	22298427	9852154	21376595	17077120																																																																					
P06704	GO:0005813	centrosome	FALSE	FALSE	FALSE		6	8175926	10486202	8801035	8408222	24252580	15452116																																																																					
P0CG63	GO:0005773	vacuole	FALSE	TRUE	FALSE		6	11029042	25620559	16741702	12953057	11555416	20153431																																																																					
P07560	GO:0099503	secretory vesicle	FALSE	TRUE	FALSE		6	12045183	16611746	21238924	9151665	8299422	20639857																																																																					
P01149	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		6	7935439	16202999	8909535	8314797	10866691	9151952																																																																					
P22219	GO:0005773	vacuole	FALSE	FALSE	FALSE		6	1988155	1756716	8387919	7721937	10970851	23335340																																																																					
P23561	GO:0005634	nucleus	FALSE	FALSE	FALSE		6	12697825	11739717	11781566	21879336	20634885	9755161																																																																					
P11076	GO:0016020	membrane	FALSE	FALSE	FALSE		6	17988226	9681627	26765562	25220393	22996016	19109418																																																																					
P52917	GO:0005773	vacuole	FALSE	FALSE	FALSE		6	12953057	9606181	10393249	10637304	10679028	11329380																																																																					
P38324	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		6	1988456	18047809	10766807	11238901	8413191	11406279																																																																					
P12866	GO:0005773	vacuole	FALSE	FALSE	FALSE		6	7865884	8045256	11294906	11251082	26510789	15635103																																																																					
Q12142	GO:0044214	spanning component of plasma membrane	FALSE	TRUE	FALSE		6	23129774	17297289	25385507	24805779	27050455	26565778																																																																					
P53252	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		6	25057013	25457676	25863055	18034155	22496901	19037108																																																																					
P60010	GO:0005881	cytoplasmic microtubule	FALSE	FALSE	FALSE		5	17251549	10085294	27990280	17416900	15067022																																																																						
P40343	GO:0005770	late endosome	FALSE	TRUE	FALSE		5	17101785	9252367	7593183	9456318	11872141																																																																						
P53286	GO:0005773	vacuole	FALSE	FALSE	FALSE		5	17101785	11053386	15701790	21441304	12456008																																																																						
P22137	GO:0009986	cell surface	FALSE	FALSE	FALSE		5	8930891	12475953	12686590	22848669	1322413																																																																						
P00729	GO:0005802	trans-Golgi network	FALSE	FALSE	FALSE		5	9155008	8509446	10628971	9712845	10637310																																																																						
P01149	GO:0005802	trans-Golgi network	FALSE	FALSE	FALSE		5	7479877	9580559	1493334	10547372	1840635																																																																						
P54199	GO:0005819	spindle	FALSE	FALSE	FALSE		5	22553353	22521787	15235793	12944469	16950116																																																																						
